category,active_document_count,document_ids
NORMAL,4,NORMAL_001_routine_desktop_and_application_activity; NORMAL_002_normal_document_and_file_browsing_activity; NORMAL_003_normal_browsing_and_private_network_use; NORMAL_004_benign_settings_viewing_and_cleanup_activity
AUTH,5,AUTH_001_normal_login_and_unlock_activity; AUTH_002_isolated_failed_login; AUTH_003_repeated_failed_logins; AUTH_004_high_frequency_failed_logins; AUTH_005_failed_logins_with_additional_risk_context
USB,5,USB_001_authorised_usb_use; USB_002_unknown_usb_without_file_execution; USB_003_usb_file_and_archive_activity; USB_004_usb_script_or_executable_activity; USB_005_usb_activity_combined_with_security_or_process_risk
SEC,5,SEC_001_security_settings_viewed_only; SEC_002_security_setting_changed_and_restored; SEC_003_defender_disabled; SEC_004_firewall_configuration_changed; SEC_005_multiple_security_control_changes
PROC,5,PROC_001_benign_command_line_use; PROC_002_process_and_network_information_queries; PROC_003_script_execution; PROC_004_unusual_or_encoded_command_patterns; PROC_005_process_activity_with_security_weakening
NET,5,NET_001_normal_private_network_use; NET_002_public_network_without_additional_risk; NET_003_network_settings_viewed_only; NET_004_network_scanner_version_check_versus_active_scan; NET_005_authorised_scan_and_compound_network_risk
PERSIST,5,PERSIST_001_persistence_settings_viewed_only; PERSIST_002_scheduled_task_created_or_modified; PERSIST_003_scheduled_task_deleted_or_test_cleanup; PERSIST_004_startup_item_added_or_removed; PERSIST_005_service_or_persistence_change_with_security_risk
TOTAL,34,
