model,n_total,json_valid_rate,scoreable,accuracy,precision,recall,f1,risk_accuracy,overlap_strict,overlap_lenient,mean_latency,TP,FP,TN,FN
llama3,120,1.0,120,0.7583,0.7101,0.8448,0.7717,0.4417,0.0319,0.2764,5.14,49,20,42,9
deepseek-r1:8b,120,1.0,119,0.8571,0.8361,0.8793,0.8571,0.5882,0.0798,0.4587,6.05,51,10,51,7
gemma3:12b,120,1.0,120,0.8333,0.7436,1.0,0.8529,0.525,0.1042,0.3944,11.05,58,20,42,0
qwen3:8b,120,1.0,120,0.85,0.9167,0.7586,0.8302,0.575,0.1167,0.4514,4.83,44,4,58,14
gpt-oss:20b,120,1.0,120,0.8167,0.8913,0.7069,0.7885,0.6083,0.0403,0.3458,12.15,41,5,57,17
