model,condition,scenarios,classification_agreement_rate,risk_agreement_rate,mean_pairwise_indicator_jaccard,mean_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,indicator_vocabulary_compliance_rate,retry_rate,timeout_rate,empty_response_rate,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1,mean_latency,latency_coefficient_of_variation,pct_scenarios_all_reps_classification_identical,pct_scenarios_all_reps_risk_identical
deepseek-r1:8b,rag,20,1.0,1.0,0.9667,0.9586,1.0,1.0,0.6,0.6,0.44,0.0,0.0,0.0,0.55,0.4,0.13,0.075,0.0933,5.0491,0.0678,1.0,1.0
gemma3:12b,rag,20,1.0,1.0,0.98,0.9708,1.0,1.0,1.0,1.0,0.84,0.0,0.0,0.0,0.8,0.6,0.2,0.2417,0.2042,11.1555,0.1149,1.0,1.0
gpt-oss:20b,rag,20,1.0,0.95,0.7817,0.7234,1.0,1.0,1.0,1.0,0.45,0.0,0.0,0.0,0.9,0.65,0.165,0.1333,0.135,17.4869,0.1214,1.0,0.9
llama3,rag,20,1.0,0.99,0.9867,0.915,1.0,1.0,1.0,1.0,0.51,0.0,0.0,0.0,0.85,0.55,0.275,0.2,0.2042,5.2698,0.0609,1.0,0.95
qwen3:8b,rag,20,1.0,1.0,1.0,0.9613,1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.8,0.65,0.2,0.125,0.15,4.8304,0.0778,1.0,1.0
